scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-08-18T05:15:31+00:00,2026-08-18T11:00:31+05:45,2026-08-18,11:00:31,1787030131,1,5,11,OPEN,,,,,,,,,,
2026-08-18T05:45:27+00:00,2026-08-18T11:30:27+05:45,2026-08-18,11:30:27,1787031927,1,5,11,OPEN,,,,,,,,,,
2026-08-18T06:15:28+00:00,2026-08-18T12:00:28+05:45,2026-08-18,12:00:28,1787033728,1,6,12,OPEN,,,,,,,,,,
2026-08-18T06:45:27+00:00,2026-08-18T12:30:27+05:45,2026-08-18,12:30:27,1787035527,1,6,12,OPEN,,,,,,,,,,
2026-08-18T07:15:30+00:00,2026-08-18T13:00:30+05:45,2026-08-18,13:00:30,1787037330,1,7,13,OPEN,,,,,,,,,,
2026-08-18T07:45:33+00:00,2026-08-18T13:30:33+05:45,2026-08-18,13:30:33,1787039133,1,7,13,OPEN,,,,,,,,,,
