scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-08-11T05:15:31+00:00,2026-08-11T11:00:31+05:45,2026-08-11,11:00:31,1786425331,1,5,11,OPEN,,,,,,,,,,
2026-08-11T05:45:33+00:00,2026-08-11T11:30:33+05:45,2026-08-11,11:30:33,1786427133,1,5,11,OPEN,,,,,,,,,,
2026-08-11T06:15:34+00:00,2026-08-11T12:00:34+05:45,2026-08-11,12:00:34,1786428934,1,6,12,OPEN,,,,,,,,,,
2026-08-11T06:45:37+00:00,2026-08-11T12:30:37+05:45,2026-08-11,12:30:37,1786430737,1,6,12,OPEN,,,,,,,,,,
2026-08-11T07:15:32+00:00,2026-08-11T13:00:32+05:45,2026-08-11,13:00:32,1786432532,1,7,13,OPEN,,,,,,,,,,
2026-08-11T07:45:31+00:00,2026-08-11T13:30:31+05:45,2026-08-11,13:30:31,1786434331,1,7,13,OPEN,,,,,,,,,,
