scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-08-06T05:15:39+00:00,2026-08-06T11:00:39+05:45,2026-08-06,11:00:39,1785993339,3,5,11,OPEN,,,,,,,,,,
2026-08-06T05:45:34+00:00,2026-08-06T11:30:34+05:45,2026-08-06,11:30:34,1785995134,3,5,11,OPEN,,,,,,,,,,
2026-08-06T06:15:32+00:00,2026-08-06T12:00:32+05:45,2026-08-06,12:00:32,1785996932,3,6,12,OPEN,,,,,,,,,,
