scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,price_source,is_market_open,business_date,symbol,security_name,open_price,high_price,low_price,close_price,last_traded_price,previous_closing_price,point_change,percentage_change,total_traded_quantity,total_traded_value,total_trades,intraday_range,intraday_range_pct_of_open,return_from_prev_close_pct,turnover_per_trade,vwap_proxy
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,AKPL,Arun Kabeli Power Ltd.,256.5,256.5,256.5,,256.5,252.0,4.5,,10.0,2565.0,1.0,0.0,0.0,1.7857142857142856,2565.0,256.5
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1071.0,1071.0,1071.0,,1071.0,1114.0,-43.0,,85.0,91035.0,2.0,0.0,0.0,-3.859964093357271,45517.5,1071.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5200.0,5200.0,5200.0,,5200.0,5305.0,-105.0,,20.0,104000.0,2.0,0.0,0.0,-1.9792648444863337,52000.0,5200.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,267.6,267.6,267.6,,267.6,281.6,-14.0,,10.0,2676.0,1.0,0.0,0.0,-4.971590909090909,2676.0,267.6
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,CFCL,Central Finance Co. Ltd.,630.0,630.0,630.0,,630.0,650.0,-20.0,,50.0,31500.0,2.0,0.0,0.0,-3.076923076923077,15750.0,630.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,CHL,Chhyangdi Hydropower Ltd.,260.0,260.0,260.0,,260.0,264.0,-4.0,,10.0,2600.0,1.0,0.0,0.0,-1.5151515151515151,2600.0,260.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,CREST,Crest Micro Life Insurance Limited,1244.2,1244.2,1244.2,,1244.2,1185.0,59.200000000000045,,10.0,12442.0,1.0,0.0,0.0,4.995780590717303,12442.0,1244.2
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1298.8,1298.8,1298.8,,1298.8,1237.0,61.799999999999955,,20.0,25976.0,2.0,0.0,0.0,4.995957962813255,12988.0,1298.8
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1090.0,1090.0,1090.0,,1090.0,1078.0,12.0,,13.0,14170.0,1.0,0.0,0.0,1.1131725417439702,14170.0,1090.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,HDL,Himalayan Distillery Limited,1124.3,1124.3,1124.3,,1124.3,1166.0,-41.700000000000045,,100.0,112430.0,2.0,0.0,0.0,-3.5763293310463165,56215.0,1124.3
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,HIDCL,Hydorelectricity Investment and Development Company Ltd,267.0,267.0,267.0,,267.0,265.0,2.0,,10.0,2670.0,1.0,0.0,0.0,0.7547169811320755,2670.0,267.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,182.0,182.0,182.0,,182.0,187.5,-5.5,,10.0,1820.0,1.0,0.0,0.0,-2.933333333333333,1820.0,182.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,HPPL,Himalayan Power Partner Ltd.,373.0,373.0,373.0,,373.0,379.0,-6.0,,10.0,3730.0,1.0,0.0,0.0,-1.58311345646438,3730.0,373.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,HRL,Himalayan Reinsurance Limited,581.1,581.1,581.1,,581.1,581.0,0.10000000000002274,,30.0,17433.0,3.0,0.0,0.0,0.017211703958695822,5811.0,581.1
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,KAHL,Kalanga Hydro Limited,508.0,508.0,508.0,,508.0,532.0,-24.0,,20.0,10160.0,1.0,0.0,0.0,-4.511278195488721,10160.0,508.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,KBL,Kumari Bank Limited,219.0,219.0,219.0,,219.0,219.0,0.0,,110.0,24090.0,2.0,0.0,0.0,0.0,12045.0,219.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,KBSH,Kutheli Bukhari Small Hydropower Limited,950.0,950.0,950.0,,950.0,961.0,-11.0,,10.0,9500.0,1.0,0.0,0.0,-1.1446409989594173,9500.0,950.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,KHPL,Kalinchock Hydropower Limited,772.6,772.6,772.6,,772.6,800.1,-27.5,,10.0,7726.0,1.0,0.0,0.0,-3.437070366204224,7726.0,772.6
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,KKHC,Khanikhola Hydropower Co. Ltd.,327.0,327.0,327.0,,327.0,324.0,3.0,,150.0,49050.0,7.0,0.0,0.0,0.9259259259259258,7007.142857142857,327.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,LBLD86,10% Laxmi Bank Debenture 2086,1139.0,1139.0,1139.0,,1139.0,1139.0,0.0,,2.0,2166.0,1.0,0.0,0.0,0.0,2166.0,1083.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,LEC,Liberty Energy Company Limited,207.0,207.0,207.0,,207.0,217.8,-10.800000000000011,,10.0,2070.0,1.0,0.0,0.0,-4.958677685950418,2070.0,207.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,LSH12,LS Horizon 12,9.0,9.0,9.0,,9.0,9.05,-0.05000000000000071,,100.0,900.0,1.0,0.0,0.0,-0.5524861878453117,900.0,9.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,MANDU,Mandu Hydropower Limited,802.0,802.0,802.0,,802.0,802.0,0.0,,100.0,80200.0,2.0,0.0,0.0,0.0,40100.0,802.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,252.9,252.9,252.9,,252.9,265.5,-12.599999999999994,,10.0,2529.0,1.0,0.0,0.0,-4.745762711864405,2529.0,252.9
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,MEPDL,Mount Everest Power Development Limited,355.3,355.3,355.3,,355.3,345.0,10.300000000000011,,20.0,7106.0,2.0,0.0,0.0,2.985507246376815,3553.0,355.3
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,MFIL,Manjushree Finance Ltd.,745.0,745.0,745.0,,745.0,783.0,-38.0,,70.0,52150.0,3.0,0.0,0.0,-4.853128991060025,17383.333333333332,745.0
2026-08-13T05:15:28+00:00,2026-08-13T11:00:28+05:45,2026-08-13,11:00:28,1786598128,3,5,11,nepse_official,OPEN,2026-08-13,MHNL,Mountain Hydro Nepal Limited,228.0,228.0,228.0,,228.0,240.0,-12.0,,10.0,2280.0,1.0,0.0,0.0,-5.0,2280.0,228.0
