scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-06-10T05:15:32+00:00,2026-06-10T11:00:32+05:45,2026-06-10,11:00:32,1781068532,2,5,11,OPEN,,,,,,,,,,
2026-06-10T05:45:30+00:00,2026-06-10T11:30:30+05:45,2026-06-10,11:30:30,1781070330,2,5,11,OPEN,,,,,,,,,,
2026-06-10T06:15:28+00:00,2026-06-10T12:00:28+05:45,2026-06-10,12:00:28,1781072128,2,6,12,OPEN,,,,,,,,,,
2026-06-10T06:45:29+00:00,2026-06-10T12:30:29+05:45,2026-06-10,12:30:29,1781073929,2,6,12,OPEN,,,,,,,,,,
2026-06-10T07:15:25+00:00,2026-06-10T13:00:25+05:45,2026-06-10,13:00:25,1781075725,2,7,13,OPEN,,,,,,,,,,
2026-06-10T07:45:33+00:00,2026-06-10T13:30:33+05:45,2026-06-10,13:30:33,1781077533,2,7,13,OPEN,,,,,,,,,,
2026-06-10T08:15:32+00:00,2026-06-10T14:00:32+05:45,2026-06-10,14:00:32,1781079332,2,8,14,OPEN,,,,,,,,,,
2026-06-10T08:45:33+00:00,2026-06-10T14:30:33+05:45,2026-06-10,14:30:33,1781081133,2,8,14,OPEN,,,,,,,,,,
2026-06-10T09:15:47+00:00,2026-06-10T15:00:47+05:45,2026-06-10,15:00:47,1781082947,2,9,15,CLOSE,,,,,,,,,,
