scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-06-01T05:15:23+00:00,2026-06-01T11:00:23+05:45,2026-06-01,11:00:23,1780290923,0,5,11,OPEN,,,,,,,,,,
2026-06-01T05:45:27+00:00,2026-06-01T11:30:27+05:45,2026-06-01,11:30:27,1780292727,0,5,11,OPEN,,,,,,,,,,
2026-06-01T06:15:32+00:00,2026-06-01T12:00:32+05:45,2026-06-01,12:00:32,1780294532,0,6,12,OPEN,,,,,,,,,,
2026-06-01T06:45:24+00:00,2026-06-01T12:30:24+05:45,2026-06-01,12:30:24,1780296324,0,6,12,OPEN,,,,,,,,,,
2026-06-01T07:15:26+00:00,2026-06-01T13:00:26+05:45,2026-06-01,13:00:26,1780298126,0,7,13,OPEN,,,,,,,,,,
2026-06-01T07:45:35+00:00,2026-06-01T13:30:35+05:45,2026-06-01,13:30:35,1780299935,0,7,13,OPEN,,,,,,,,,,
2026-06-01T08:15:29+00:00,2026-06-01T14:00:29+05:45,2026-06-01,14:00:29,1780301729,0,8,14,OPEN,,,,,,,,,,
2026-06-01T08:45:27+00:00,2026-06-01T14:30:27+05:45,2026-06-01,14:30:27,1780303527,0,8,14,OPEN,,,,,,,,,,
