scraped_at_utc,is_market_open,business_date,symbol,security_name,open_price,high_price,low_price,close_price,last_traded_price,previous_closing_price,point_change,percentage_change,total_traded_quantity,total_traded_value,total_trades
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CKHL,Chirkhwa Hydropower Limited ,689.5,721.0,689.5,718.0,,,,,6657,4700706.5,112
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CLI,Citizen Life Insurance Company Limited,486.0,494.8,486.0,491.0,,,,,19843,9711687.1,352
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CMF2,CITIZENS MUTUAL FUND 2,10.3,10.36,10.3,10.36,,,,,37280,386048.0,7
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CORBL,Corporate Development Bank Limited,2028.7,2060.0,1988.2,2003.0,,,,,12862,26006248.0,192
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CREST,Crest Micro Life Insurance Limited,1391.0,1420.0,1390.0,1395.2,,,,,28715,40376737.8,336
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CSY,Citizens Santulit Yojana,9.61,9.74,9.38,9.57,,,,,32100,309307.5,49
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1612.1,1634.0,1612.1,1634.0,,,,,1512,2450227.9,62
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,CZBIL,Citizens Bank International Limited,227.0,229.8,222.5,229.0,,,,,165271,37259211.5,372
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,880.0,888.0,870.1,887.9,,,,,20201,17735509.6,171
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,DHEL,Daramkhola Hydro Energy Limited,715.0,734.0,715.0,732.9,,,,,63123,46020666.4,893
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,DHPL,Dibyashwori Hydropower Ltd.,342.0,342.0,332.0,340.0,,,,,13062,4401950.4,84
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1391.6,1417.0,1370.0,1413.0,,,,,1566,2164186.0,39
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,DOLTI,Dolti Power Company Limited,512.1,519.0,512.1,517.0,,,,,5107,2635600.5,82
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,DORDI,Dordi Khola Jal Bidyut Company Limited,308.0,311.8,302.2,310.9,,,,,256448,78761000.4,866
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,EBL,Everest Bank Limited,714.0,714.0,706.0,712.0,,,,,47685,33904116.5,284
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,EBLD85,10.50% Everest Bank Limited Debenture 2085,1194.0,1225.0,1147.7,1173.0,,,,,453,544921.5,9
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,EBLD86,Everest Bank Limited,1110.0,1110.0,1088.0,1088.0,,,,,50,54950.0,2
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,EBLD91,Everest Bank Limited Debenture 2091,1094.0,1105.0,1090.7,1105.0,,,,,81,88746.5,4
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,EDBL,Excel Development Bank Ltd.,626.9,626.9,615.0,622.0,,,,,13016,8072814.5,88
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,EHPL,Eastern Hydropower Limited,453.9,453.9,444.0,446.0,,,,,44030,19674569.8,234
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ENL,Emerging Nepal Limited,954.6,969.0,941.1,969.0,,,,,1735,1653476.2,36
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,896.0,896.0,871.2,888.4,,,,,48277,42589934.8,299
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1152.0,1152.0,1117.0,1128.0,,,,,3194,3582943.8,55
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBBD85,"Garima Debenture, 2085",1073.7,1095.1,1073.7,1095.1,,,,,50,54220.0,2
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBBL,Garima Bikas Bank Limited,426.0,429.0,420.0,428.0,,,,,67997,28992238.5,260
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBBLPO,Garima Bikas Bank Limited Promoter Share,242.0,242.0,242.0,242.0,,,,,30369,7349298.0,1
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBILD84/85,"Global IME Bank Debenture, 2084/85",1210.0,1210.0,1210.0,1210.0,,,,,25,30250.0,1
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBIME,Global IME Bank Limited,247.6,256.0,247.6,254.8,,,,,490207,122964123.1,904
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBIMESY2,Global IME Sammunat Yojana -2,9.64,9.7,9.45,9.7,,,,,1900,18199.0,15
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,813.0,816.8,801.2,814.0,,,,,11182,9045703.9,103
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GCIL,Ghorahi Cement Industry Limited,470.9,470.9,457.8,467.0,,,,,54112,25106010.2,555
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GFCL,Goodwill Finance Limited,687.0,690.0,676.0,690.0,,,,,16696,11408664.7,143
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GHL,Ghalemdi Hydro Limited,274.0,274.3,267.6,273.5,,,,,241466,65486466.1,649
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GIBF1,Global IME Balanced Fund-1,11.45,11.67,11.27,11.32,,,,,208220,2393215.8,25
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1250.0,1250.0,1220.0,1220.3,,,,,2080,2554852.6,42
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2003.9,2003.9,1960.0,1980.0,,,,,1019,2007280.0,44
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GLH,GreenLife Hydropower Limited,300.0,309.0,300.0,308.7,,,,,150529,46000216.2,643
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1447.0,1474.8,1445.0,1453.0,,,,,1253,1821318.7,28
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,520.0,521.0,512.0,516.5,,,,,30383,15696292.1,131
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GMLI,Guardian Micro Life Insurance Limited ,1740.0,1774.8,1732.1,1774.8,,,,,2476,4349100.4,107
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GRDBL,Green Development Bank Ltd.,1202.4,1202.4,1160.5,1174.0,,,,,11732,13714382.9,140
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GSY,Garima Samriddhi Yojana,9.95,10.1,9.95,10.01,,,,,45762,458817.23,76
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GUFL,Gurkhas Finance Ltd.,591.0,594.4,585.6,593.0,,,,,12011,7074827.0,104
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GVL,Green Ventures Limited,515.0,521.0,512.0,516.3,,,,,65384,33771770.1,330
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1125.0,1125.0,1125.0,1125.0,,,,,39,43875.0,2
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,H8020,Himalayan 80-20,12.16,12.16,11.92,12.0,,,,,6600,79960.0,13
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HATHY,Hathway Investment Nepal Limited,940.0,955.0,935.0,955.0,,,,,11914,11248704.8,191
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HBL,Himalayan Bank Limited,223.0,229.0,222.0,228.5,,,,,170739,38356155.2,2109
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HDHPC,Himal Dolakha Hydropower Company Limited,246.6,254.4,242.1,253.0,,,,,763484,190167365.5,2055
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HDL,Himalayan Distillery Limited,1235.0,1239.9,1215.2,1226.0,,,,,64395,79021094.7,766
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HEI,Himalayan Everest Insurance Limited,557.09,568.0,557.09,568.0,,,,,19539,10935648.5,86
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HEIP,Himalayan Everest Insurance Limited Promoter,333.1,333.1,323.6,324.0,,,,,1243,405152.8,16
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HFIN,Hotel Forest Inn Limited,237.3,262.9,237.3,262.9,,,,,208,53562.2,21
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HHL,Himalayan Hydropower Limited,374.0,380.0,372.1,379.8,,,,,43342,16311895.7,255
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HIDCL,Hydorelectricity Investment and Development Company Ltd,307.0,307.0,296.2,298.0,,,,,351659,105048971.6,980
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,227.0,228.6,222.7,225.0,,,,,913073,205488256.4,964
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HIMSTAR,Him Star Urja Company Limited,980.0,1032.0,975.0,1025.0,,,,,39897,40239078.9,625
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,947.6,979.2,947.6,968.0,,,,,3394,3251427.5,45
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HLI,Himalayan Life Insurance Limited,390.0,394.0,388.1,393.5,,,,,118315,46294772.9,657
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HLICF,HLI Large Cap Fund,9.6,9.6,9.6,9.6,,,,,3000,28800.0,13
