scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-07-21T05:15:38+00:00,2026-07-21T11:00:38+05:45,2026-07-21,11:00:38,1784610938,1,5,11,OPEN,,,,,,,,,,
2026-07-21T05:45:34+00:00,2026-07-21T11:30:34+05:45,2026-07-21,11:30:34,1784612734,1,5,11,OPEN,,,,,,,,,,
2026-07-21T06:15:31+00:00,2026-07-21T12:00:31+05:45,2026-07-21,12:00:31,1784614531,1,6,12,OPEN,,,,,,,,,,
2026-07-21T06:45:26+00:00,2026-07-21T12:30:26+05:45,2026-07-21,12:30:26,1784616326,1,6,12,OPEN,,,,,,,,,,
2026-07-21T07:15:31+00:00,2026-07-21T13:00:31+05:45,2026-07-21,13:00:31,1784618131,1,7,13,OPEN,,,,,,,,,,
2026-07-21T07:45:42+00:00,2026-07-21T13:30:42+05:45,2026-07-21,13:30:42,1784619942,1,7,13,OPEN,,,,,,,,,,
2026-07-21T08:15:41+00:00,2026-07-21T14:00:41+05:45,2026-07-21,14:00:41,1784621741,1,8,14,OPEN,,,,,,,,,,
