scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-07-15T05:15:29+00:00,2026-07-15T11:00:29+05:45,2026-07-15,11:00:29,1784092529,2,5,11,OPEN,,,,,,,,,,
2026-07-15T05:45:30+00:00,2026-07-15T11:30:30+05:45,2026-07-15,11:30:30,1784094330,2,5,11,OPEN,,,,,,,,,,
2026-07-15T06:15:35+00:00,2026-07-15T12:00:35+05:45,2026-07-15,12:00:35,1784096135,2,6,12,OPEN,,,,,,,,,,
2026-07-15T06:45:28+00:00,2026-07-15T12:30:28+05:45,2026-07-15,12:30:28,1784097928,2,6,12,OPEN,,,,,,,,,,
2026-07-15T07:15:33+00:00,2026-07-15T13:00:33+05:45,2026-07-15,13:00:33,1784099733,2,7,13,OPEN,,,,,,,,,,
2026-07-15T07:45:30+00:00,2026-07-15T13:30:30+05:45,2026-07-15,13:30:30,1784101530,2,7,13,OPEN,,,,,,,,,,
