scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-09-22T05:15:27+00:00,2026-09-22T11:00:27+05:45,2026-09-22,11:00:27,1790054127,1,5,11,OPEN,,,,,,,,,,
2026-09-22T05:45:29+00:00,2026-09-22T11:30:29+05:45,2026-09-22,11:30:29,1790055929,1,5,11,OPEN,,,,,,,,,,
2026-09-22T06:15:36+00:00,2026-09-22T12:00:36+05:45,2026-09-22,12:00:36,1790057736,1,6,12,OPEN,,,,,,,,,,
2026-09-22T06:45:37+00:00,2026-09-22T12:30:37+05:45,2026-09-22,12:30:37,1790059537,1,6,12,OPEN,,,,,,,,,,
2026-09-22T07:15:36+00:00,2026-09-22T13:00:36+05:45,2026-09-22,13:00:36,1790061336,1,7,13,OPEN,,,,,,,,,,
2026-09-22T07:45:31+00:00,2026-09-22T13:30:31+05:45,2026-09-22,13:30:31,1790063131,1,7,13,OPEN,,,,,,,,,,
2026-09-22T08:15:31+00:00,2026-09-22T14:00:31+05:45,2026-09-22,14:00:31,1790064931,1,8,14,OPEN,,,,,,,,,,
2026-09-22T08:45:32+00:00,2026-09-22T14:30:32+05:45,2026-09-22,14:30:32,1790066732,1,8,14,OPEN,,,,,,,,,,
