scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-09-18T05:15:28+00:00,2026-09-18T11:00:28+05:45,2026-09-18,11:00:28,1789708528,4,5,11,OPEN,,,,,,,,,,
2026-09-18T05:45:28+00:00,2026-09-18T11:30:28+05:45,2026-09-18,11:30:28,1789710328,4,5,11,OPEN,,,,,,,,,,
2026-09-18T06:15:29+00:00,2026-09-18T12:00:29+05:45,2026-09-18,12:00:29,1789712129,4,6,12,OPEN,,,,,,,,,,
2026-09-18T06:45:27+00:00,2026-09-18T12:30:27+05:45,2026-09-18,12:30:27,1789713927,4,6,12,OPEN,,,,,,,,,,
2026-09-18T07:15:32+00:00,2026-09-18T13:00:32+05:45,2026-09-18,13:00:32,1789715732,4,7,13,OPEN,,,,,,,,,,
2026-09-18T07:45:29+00:00,2026-09-18T13:30:29+05:45,2026-09-18,13:30:29,1789717529,4,7,13,OPEN,,,,,,,,,,
2026-09-18T08:16:07+00:00,2026-09-18T14:01:07+05:45,2026-09-18,14:01:07,1789719367,4,8,14,OPEN,,,,,,,,,,
2026-09-18T08:45:30+00:00,2026-09-18T14:30:30+05:45,2026-09-18,14:30:30,1789721130,4,8,14,OPEN,,,,,,,,,,
2026-09-18T09:15:28+00:00,2026-09-18T15:00:28+05:45,2026-09-18,15:00:28,1789722928,4,9,15,CLOSE,,,,,,,,,,
2026-09-21T05:15:27+00:00,2026-09-21T11:00:27+05:45,2026-09-21,11:00:27,1789967727,0,5,11,CLOSE,,,,,,,,,,
2026-09-21T05:45:29+00:00,2026-09-21T11:30:29+05:45,2026-09-21,11:30:29,1789969529,0,5,11,CLOSE,,,,,,,,,,
2026-09-21T06:15:32+00:00,2026-09-21T12:00:32+05:45,2026-09-21,12:00:32,1789971332,0,6,12,CLOSE,,,,,,,,,,
2026-09-21T06:45:31+00:00,2026-09-21T12:30:31+05:45,2026-09-21,12:30:31,1789973131,0,6,12,CLOSE,,,,,,,,,,
