scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-09-15T05:15:27+00:00,2026-09-15T11:00:27+05:45,2026-09-15,11:00:27,1789449327,1,5,11,OPEN,,,,,,,,,,
2026-09-15T05:45:30+00:00,2026-09-15T11:30:30+05:45,2026-09-15,11:30:30,1789451130,1,5,11,OPEN,,,,,,,,,,
2026-09-15T06:15:34+00:00,2026-09-15T12:00:34+05:45,2026-09-15,12:00:34,1789452934,1,6,12,OPEN,,,,,,,,,,
2026-09-15T06:45:32+00:00,2026-09-15T12:30:32+05:45,2026-09-15,12:30:32,1789454732,1,6,12,OPEN,,,,,,,,,,
2026-09-15T07:15:32+00:00,2026-09-15T13:00:32+05:45,2026-09-15,13:00:32,1789456532,1,7,13,OPEN,,,,,,,,,,
2026-09-15T07:45:32+00:00,2026-09-15T13:30:32+05:45,2026-09-15,13:30:32,1789458332,1,7,13,OPEN,,,,,,,,,,
