scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-09-08T05:15:27+00:00,2026-09-08T11:00:27+05:45,2026-09-08,11:00:27,1788844527,1,5,11,CLOSE,,,,,,,,,,
2026-09-08T05:45:30+00:00,2026-09-08T11:30:30+05:45,2026-09-08,11:30:30,1788846330,1,5,11,CLOSE,,,,,,,,,,
2026-09-08T06:15:28+00:00,2026-09-08T12:00:28+05:45,2026-09-08,12:00:28,1788848128,1,6,12,CLOSE,,,,,,,,,,
2026-09-08T06:45:32+00:00,2026-09-08T12:30:32+05:45,2026-09-08,12:30:32,1788849932,1,6,12,CLOSE,,,,,,,,,,
2026-09-08T07:15:27+00:00,2026-09-08T13:00:27+05:45,2026-09-08,13:00:27,1788851727,1,7,13,CLOSE,,,,,,,,,,
2026-09-08T07:45:31+00:00,2026-09-08T13:30:31+05:45,2026-09-08,13:30:31,1788853531,1,7,13,CLOSE,,,,,,,,,,
2026-09-08T08:15:36+00:00,2026-09-08T14:00:36+05:45,2026-09-08,14:00:36,1788855336,1,8,14,CLOSE,,,,,,,,,,
2026-09-08T08:45:32+00:00,2026-09-08T14:30:32+05:45,2026-09-08,14:30:32,1788857132,1,8,14,CLOSE,,,,,,,,,,
2026-09-08T09:15:49+00:00,2026-09-08T15:00:49+05:45,2026-09-08,15:00:49,1788858949,1,9,15,CLOSE,,,,,,,,,,
