scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-05-14T05:15:27+00:00,2026-05-14T11:00:27+05:45,2026-05-14,11:00:27,1778735727,3,5,11,OPEN,,,,,,,,,,
2026-05-14T05:45:29+00:00,2026-05-14T11:30:29+05:45,2026-05-14,11:30:29,1778737529,3,5,11,OPEN,,,,,,,,,,
2026-05-14T06:15:33+00:00,2026-05-14T12:00:33+05:45,2026-05-14,12:00:33,1778739333,3,6,12,OPEN,,,,,,,,,,
2026-05-14T06:45:30+00:00,2026-05-14T12:30:30+05:45,2026-05-14,12:30:30,1778741130,3,6,12,OPEN,,,,,,,,,,
2026-05-14T07:15:25+00:00,2026-05-14T13:00:25+05:45,2026-05-14,13:00:25,1778742925,3,7,13,OPEN,,,,,,,,,,
2026-05-14T07:45:32+00:00,2026-05-14T13:30:32+05:45,2026-05-14,13:30:32,1778744732,3,7,13,OPEN,,,,,,,,,,
2026-05-14T08:15:35+00:00,2026-05-14T14:00:35+05:45,2026-05-14,14:00:35,1778746535,3,8,14,OPEN,,,,,,,,,,
2026-05-14T08:45:25+00:00,2026-05-14T14:30:25+05:45,2026-05-14,14:30:25,1778748325,3,8,14,OPEN,,,,,,,,,,
