scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-04-23T05:15:19+00:00,2026-04-23T11:00:19+05:45,2026-04-23,11:00:19,1776921319,3,5,11,OPEN,,,,,,,,,,
2026-04-23T05:45:24+00:00,2026-04-23T11:30:24+05:45,2026-04-23,11:30:24,1776923124,3,5,11,OPEN,,,,,,,,,,
2026-04-23T06:15:25+00:00,2026-04-23T12:00:25+05:45,2026-04-23,12:00:25,1776924925,3,6,12,OPEN,,,,,,,,,,
